appid,name,developer,publisher,release_date,release_year,genres,categories,steamspy_tags,platforms,positive_ratings,negative_ratings,total_ratings,positive_ratio,well_received,reception_tier,owners,owners_avg,pred_positive_ratio,pred_well_received_proba,pred_owners,pred_reception_tier,reception_gap,owners_gap_log,price,price_log,is_free,achievements,achievements_log,achievements_per_dollar,required_age,num_genres,dev_avg_rating,dev_game_count,pub_avg_rating,pub_game_count,release_month,release_year_filled,name_len,name_word_count,platform_windows,platform_mac,platform_linux,num_platforms,genre_Indie,genre_Action,genre_Casual,genre_Adventure,genre_Strategy,genre_Simulation,genre_RPG,genre_Early_Access,genre_Free_to_Play,genre_Sports,cat_multiplayer,cat_singleplayer,cat_coop,cat_online_multiplayer,cat_steam_achievements,cat_steam_trading_cards,cat_full_controller_support,cat_steam_cloud,tag_Indie,tag_Action,tag_Casual,tag_Adventure,tag_Strategy,tag_Simulation,tag_Early_Access,tag_RPG,tag_Free_to_Play,tag_Puzzle,tag_VR,tag_Sports,tag_Racing,tag_Platformer,tag_Nudity
960600,Nanoswarm,Termite Farm,Termite Farm,2019-02-05,2019,Action;Casual;Indie;Strategy,Single-player,Action;Casual;Indie,windows,3,1,4,0.75,1,Great,0-20000,10000.0,0.7448148,0.6806579,9615.22,Great,0.005185186862945557,0.039233892672317694,3.99,1.6074359097634274,0,0,0.0,0.0,0,4,0.7139077639746677,1,0.7139077639746677,1,2,2019,9,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
960610,The Gameshow,Biscuit Play,Biscuit Play,2019-03-13,2019,Action;Indie,Single-player,Indie;Action;FPS,windows,0,3,3,0.0,0,Poor,0-20000,10000.0,0.7331284,0.6718187,9640.8955,Great,-0.7331284284591675,0.03656741928364582,3.99,1.6074359097634274,0,0,0.0,0.0,0,2,0.7139077639746677,1,0.7139077639746677,1,3,2019,12,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
960660,Coldfall,Charyb Games,Charyb Games,2018-12-13,2018,Action;Adventure;Indie;Strategy,Single-player;Steam Achievements,Violent;Action;Indie,windows;linux,9,1,10,0.9,1,Great,0-20000,10000.0,0.71427935,0.6213076,10235.754,Great,0.1857206463813782,-0.023299485928756525,2.09,1.128171090909654,0,8,2.1972245773362196,2.5889967637540456,0,4,0.694023869450675,3,0.694023869450675,3,12,2018,8,1,1,0,1,2,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
960700,GUNS 'n GUTS,Eric C,Eric C,2018-11-12,2018,Action;Indie,Single-player;Captions available;Stats,Action;Indie;Gore,windows,7,0,7,1.0,1,Great,0-20000,10000.0,0.69069374,0.5856416,9452.601,Great,0.309306263923645,0.05628940414692707,0.79,0.5822156198526637,0,0,0.0,0.0,0,2,0.7139077639746677,1,0.7139077639746677,1,11,2018,12,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
960800,Second World: Air War S,Fire Leaf Studio,Fire Leaf Studio,2018-12-15,2018,Action;Indie;Racing;Simulation;Sports;Early Access,Single-player;Steam Leaderboards,Early Access;Indie;Action,windows,1,0,1,1.0,1,Great,0-20000,10000.0,0.70123094,0.6423881,8701.033,Great,0.2987690567970276,0.13912841629292316,5.19,1.8229350866965048,0,0,0.0,0.0,0,6,0.7139077639746677,1,0.7139077639746677,1,12,2018,23,5,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
960820,Data mining 2,Blender Games,Blender Games,2018-10-25,2018,Casual;Indie,Single-player;Steam Achievements,Casual;Indie;2D,windows,3,1,4,0.75,1,Great,0-20000,10000.0,0.720567,0.7783016,10835.611,Great,0.029433012008666992,-0.08024528671000652,0.79,0.5822156198526637,0,100,4.61512051684126,55.865921787709496,0,2,0.7217819618871205,40,0.7217819618871205,40,10,2018,13,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
961040,Down to Hell,Red Dev Studio S.A.,Red Dev Studio S.A.;Ultimate Games S.A.,2019-04-18,2019,Action;Indie;RPG;Early Access,Single-player;Steam Achievements;Full controller support;Steam Cloud,Early Access;Action;Indie,windows;mac,10,1,11,0.9090909090909091,1,Great,0-20000,10000.0,0.9062529,0.9284399,9827.512,Great,0.0028379884633150665,0.017397611849563788,7.19,2.1029138978649784,0,9,2.302585092994046,1.0989010989010988,0,4,0.7323105240329438,3,0.7139077639746677,1,4,2019,12,3,1,1,0,2,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
961060,GameEllen,Uğur Kayhandemir,Uğur Kayhandemir,2018-11-03,2018,Adventure;Casual;Indie,Single-player,Indie;Casual;Adventure,windows;mac;linux,3,3,6,0.5,0,Average,0-20000,10000.0,0.77550155,0.704936,10120.912,Great,-0.275501549243927,-0.012017518765670587,2.89,1.358409157630355,0,0,0.0,0.0,0,3,0.7139077639746677,1,0.7139077639746677,1,11,2018,9,1,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
961110,Prixel,Grytis,Indie,2018-11-01,2018,Action;Adventure;Casual;Indie;Early Access,Single-player;Shared/Split Screen;Full controller support,Early Access;Action;Indie,windows,4,1,5,0.8,1,Great,0-20000,10000.0,0.77645224,0.72087914,9376.045,Great,0.023547756671905562,0.06442043136860676,2.09,1.128171090909654,0,0,0.0,0.0,0,5,0.7139077639746677,1,0.6973365444347231,8,11,2018,6,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
961190,Abstract Hell,Nathan Best,Ruby-3 Productions,2019-01-04,2019,Action;Casual;Indie,Single-player;Full controller support;Includes level editor,Indie;Action;Casual,windows;linux,3,0,3,1.0,1,Great,0-20000,10000.0,0.8521097,0.8227651,9297.014,Great,0.14789032936096191,0.07288429092671223,5.19,1.8229350866965048,0,0,0.0,0.0,0,3,0.7399161490678797,2,0.7139077639746677,1,1,2019,13,2,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
